Sorting Date,Date,From,To,Location,Repository,Publication,Link
12/09/1889,12/09/1889,John Addington Symonds,Walt Whitman,"Davos, Switzerland","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.04191.html
11/06/1893,11/06/1893,Oscar Wilde,Charles Kains Jackson,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
11/10/1893,11/10/1893,Elisabeth Marbury,Oscar Wilde,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
1/1/1894,1894,Oscar Wilde,Bram Stoker,,,,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
03/28/1894,03/28/1894,George Cecil Ives,Edward Carpenter,,"The Papers of Edward Carpenter, 1844­1929 from Sheffield Archives",,
02/15/1895,02/15/1895,Oscar Wilde,Alfred Douglas,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
05/17/1897,05/17/1897,Oscar Wilde,Adey More,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
03/21/1898,03/21/1898,Oscar Wilde,George Cecil Ives,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
12/31/1899,12/31/1899,Olive Schreiner,Edward Carpenter,"Newlands, Cape Town","National English Literary Museum, Grahamstown",,https://www.oliveschreiner.org/vre?view=collections&colid=39&letterid=2
05/14/1900,05/14/1900,Oscar Wilde,Robbie Ross,,"Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,http://oac.cdlib.org/findaid/ark:/13030/kt9w1038gz
05/16/1912,05/16/1912,Isadora Duncan,Edward Carpenter,,"The Papers of Edward Carpenter, 1844­1929 from Sheffield Archives",,
04/06/1914,04/06/1914,Olive Schreiner,Edith Ellis,"Florence, Italy","Harry Ransom Center, University of Texas, Austin",,https://www.oliveschreiner.org/vre?view=collections&colid=31&letterid=1
05/01/1923,05/01/1923,Langston Hughes,Alain Leroy Locke,New York,,Selected Letters of Langston Hughes,
01/09/1924,01/09/1924,George Merrill,Edward Carpenter,,"The Papers of Edward Carpenter, 1844­1929 from Sheffield Archives",,
02/08/1967,02/08/1967,Charles Warren Stoddard,Walt Whitman,San Francisco,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.01942.html
03/28/1980,03/28/1980,Edward Carpenter,Walt Whitman,"Sheffield, UK","Charles Sixsmith Collection at the John Rylands Library, University of Manchester.",,https://whitmanarchive.org/biography/correspondence/tei/man.00027.html
